iterations:1940.0 loss:3.4574
iterations:1950.0 loss:3.71925
iterations:1960.0 loss:3.18058
iterations:1970.0 loss:3.42649
iterations:1980.0 loss:3.6641
iterations:1990.0 loss:3.25395
iterations:2000.0 loss:3.59076
iterations:2010.0 loss:3.66534
iterations:2020.0 loss:3.46177
iterations:2030.0 loss:3.52043
iterations:2040.0 loss:3.87024
iterations:2050.0 loss:3.41399
iterations:2060.0 loss:3.66556
iterations:2070.0 loss:3.65918
iterations:2080.0 loss:3.16085
iterations:2090.0 loss:3.41576
iterations:2100.0 loss:3.45496
iterations:2110.0 loss:3.62181
iterations:2120.0 loss:3.74015
iterations:2130.0 loss:3.56404
iterations:2140.0 loss:3.98504
iterations:2150.0 loss:3.43971
iterations:2160.0 loss:3.37121
iterations:2170.0 loss:3.54156
iterations:2180.0 loss:3.28615
iterations:2190.0 loss:3.83782
iterations:2200.0 loss:3.33862
iterations:2210.0 loss:3.46156
iterations:2220.0 loss:3.15366
iterations:2230.0 loss:3.44944
iterations:2240.0 loss:3.82093
iterations:2250.0 loss:3.57171
iterations:2260.0 loss:3.4232
iterations:2270.0 loss:3.50289
iterations:2280.0 loss:3.40007
iterations:2290.0 loss:3.24463
iterations:2300.0 loss:3.41122
iterations:2310.0 loss:3.38838
iterations:2320.0 loss:3.40349
iterations:2330.0 loss:3.51153
iterations:2340.0 loss:3.16663
iterations:2350.0 loss:3.19012
iterations:2360.0 loss:3.3639
iterations:2370.0 loss:3.41964
iterations:2380.0 loss:3.37848
iterations:2390.0 loss:3.39765
iterations:2400.0 loss:3.41318
iterations:2410.0 loss:3.33662
iterations:2420.0 loss:3.476
iterations:2430.0 loss:3.22498
iterations:2440.0 loss:3.88841
iterations:2450.0 loss:3.25291
iterations:2460.0 loss:3.34894
iterations:2470.0 loss:3.61999
iterations:2480.0 loss:3.19551
iterations:2490.0 loss:3.35681
iterations:2500.0 loss:3.49328
iterations:2510.0 loss:3.15836
iterations:2520.0 loss:3.44538
iterations:2530.0 loss:3.29305
iterations:2540.0 loss:3.70361
iterations:2550.0 loss:3.5142
iterations:2560.0 loss:3.68453
iterations:2570.0 loss:3.20181
iterations:2580.0 loss:3.50252
iterations:2590.0 loss:3.65134
iterations:2600.0 loss:3.33285
iterations:2610.0 loss:3.42619
iterations:2620.0 loss:3.41828
iterations:2630.0 loss:3.6706
iterations:2640.0 loss:3.40883
iterations:2650.0 loss:3.52954
iterations:2660.0 loss:3.42191
iterations:2670.0 loss:3.30764
iterations:2680.0 loss:3.35739
iterations:2690.0 loss:3.27939
iterations:2700.0 loss:3.47327
iterations:2710.0 loss:3.70648
iterations:2720.0 loss:3.60259
iterations:2730.0 loss:3.83709
iterations:2740.0 loss:3.66125
iterations:2750.0 loss:3.457
iterations:2760.0 loss:3.61296
iterations:2770.0 loss:3.37363
iterations:2780.0 loss:3.68127
iterations:2790.0 loss:3.46054
iterations:2800.0 loss:3.44537
iterations:2810.0 loss:3.12588
iterations:2820.0 loss:3.2044
iterations:2830.0 loss:3.12362
iterations:2840.0 loss:3.25836
iterations:2850.0 loss:3.4293
iterations:2860.0 loss:3.13915
iterations:2870.0 loss:3.39023
iterations:2880.0 loss:3.32157
iterations:2890.0 loss:3.41975
iterations:2900.0 loss:3.39231
iterations:2910.0 loss:3.36124
iterations:2920.0 loss:3.3693
iterations:2930.0 loss:3.53169
iterations:2940.0 loss:3.36941
iterations:2950.0 loss:3.37567
iterations:2960.0 loss:3.43052
iterations:2970.0 loss:3.47556
iterations:2980.0 loss:3.37257
iterations:2990.0 loss:3.23254
iterations:3000.0 loss:3.32272
iterations:3010.0 loss:3.266
iterations:3020.0 loss:3.56757
iterations:3030.0 loss:3.39372
iterations:3040.0 loss:3.27807
iterations:3050.0 loss:3.45906
iterations:3060.0 loss:3.48133
iterations:3070.0 loss:3.60274
iterations:3080.0 loss:3.56591
iterations:3090.0 loss:3.31057
iterations:3100.0 loss:3.3094
iterations:3110.0 loss:3.39215
iterations:3120.0 loss:3.17238
iterations:3130.0 loss:3.6495
iterations:3140.0 loss:3.34534
iterations:3150.0 loss:3.44869
iterations:3160.0 loss:3.62441
iterations:3170.0 loss:3.57867
iterations:3180.0 loss:3.46148
iterations:3190.0 loss:3.36101
iterations:3200.0 loss:3.21852
iterations:3210.0 loss:3.38796
iterations:3220.0 loss:3.40398
iterations:3230.0 loss:3.30788
iterations:3240.0 loss:3.51382
iterations:3250.0 loss:3.23759
iterations:3260.0 loss:3.36119
iterations:3270.0 loss:3.45857
iterations:3280.0 loss:3.44123
iterations:3290.0 loss:3.45691
iterations:3300.0 loss:3.72604
iterations:3310.0 loss:3.49987
iterations:3320.0 loss:3.35506
iterations:3330.0 loss:3.04219
iterations:3340.0 loss:3.20888
iterations:3350.0 loss:3.51975
iterations:3360.0 loss:3.37718
iterations:3370.0 loss:3.4354
iterations:3380.0 loss:2.98487
iterations:3390.0 loss:3.32295
iterations:3400.0 loss:3.24771
iterations:3410.0 loss:3.32426
iterations:3420.0 loss:3.37523
iterations:3430.0 loss:3.64547
iterations:3440.0 loss:3.28496
iterations:3450.0 loss:3.34817
iterations:3460.0 loss:3.26718
iterations:3470.0 loss:3.42868
iterations:3480.0 loss:3.37717
iterations:3490.0 loss:3.34891
iterations:3500.0 loss:3.51403
iterations:3510.0 loss:3.29325
iterations:3520.0 loss:3.41818
iterations:3530.0 loss:3.40311
iterations:3540.0 loss:3.38292
iterations:3550.0 loss:3.40518
iterations:3560.0 loss:3.40188
iterations:3570.0 loss:3.29197
iterations:3580.0 loss:3.53156
iterations:3590.0 loss:3.67347
iterations:3600.0 loss:3.28896
iterations:3610.0 loss:3.4857
iterations:3620.0 loss:3.25988
iterations:3630.0 loss:3.59672
iterations:3640.0 loss:3.52491
iterations:3650.0 loss:3.77236
iterations:3660.0 loss:3.61359
iterations:3670.0 loss:3.84302
iterations:3680.0 loss:3.19623
iterations:3690.0 loss:3.48233
iterations:3700.0 loss:3.30493
iterations:3710.0 loss:3.21889
iterations:3720.0 loss:3.26816
iterations:3730.0 loss:3.39531
iterations:3740.0 loss:3.46667
iterations:3750.0 loss:3.37589
iterations:3760.0 loss:3.41312
iterations:3770.0 loss:3.49524
iterations:3780.0 loss:3.43912
iterations:3790.0 loss:3.73948
iterations:3800.0 loss:3.55055
iterations:3810.0 loss:3.57105
iterations:3820.0 loss:3.54026
iterations:3830.0 loss:3.47636
iterations:3840.0 loss:3.29427
iterations:3850.0 loss:3.34166
iterations:3860.0 loss:3.4808
iterations:3870.0 loss:3.34315
iterations:3880.0 loss:3.4125
iterations:3890.0 loss:3.09709
iterations:3900.0 loss:3.13858
iterations:3910.0 loss:3.27857
iterations:3920.0 loss:3.24558
iterations:3930.0 loss:3.37564
iterations:3940.0 loss:3.30921
iterations:3950.0 loss:3.27827
iterations:3960.0 loss:3.3534
iterations:3970.0 loss:3.53263
iterations:3980.0 loss:3.34199
iterations:3990.0 loss:3.22224
iterations:4000.0 loss:3.4873
iterations:4010.0 loss:3.56649
iterations:4020.0 loss:3.47716
iterations:4030.0 loss:3.24339
iterations:4040.0 loss:3.18688
iterations:4050.0 loss:3.54705
iterations:4060.0 loss:3.14801
iterations:4070.0 loss:3.5685
iterations:4080.0 loss:3.56934
iterations:4090.0 loss:3.62475
iterations:4100.0 loss:3.33619
iterations:4110.0 loss:3.57428
iterations:4120.0 loss:3.48001
iterations:4130.0 loss:3.45183
iterations:4140.0 loss:3.35773
iterations:4150.0 loss:3.20289
iterations:4160.0 loss:3.40824
iterations:4170.0 loss:3.50082
iterations:4180.0 loss:3.39935
iterations:4190.0 loss:3.36948
iterations:4200.0 loss:3.62924
iterations:4210.0 loss:3.69134
iterations:4220.0 loss:3.48563
iterations:4230.0 loss:3.33055
iterations:4240.0 loss:3.33404
iterations:4250.0 loss:3.22594
iterations:4260.0 loss:3.72201
iterations:4270.0 loss:3.18157
iterations:4280.0 loss:3.46261
iterations:4290.0 loss:3.33715
iterations:4300.0 loss:3.44769
iterations:4310.0 loss:3.55562
iterations:4320.0 loss:3.58406
iterations:4330.0 loss:3.52202
iterations:4340.0 loss:3.62469
iterations:4350.0 loss:3.55481
iterations:4360.0 loss:3.20432
iterations:4370.0 loss:3.2532
iterations:4380.0 loss:3.29873
iterations:4390.0 loss:3.34984
iterations:4400.0 loss:3.30422
iterations:4410.0 loss:3.21584
iterations:4420.0 loss:3.11697
iterations:4430.0 loss:3.35322
iterations:4440.0 loss:3.21745
iterations:4450.0 loss:3.39842
iterations:4460.0 loss:3.47224
iterations:4470.0 loss:3.62358
iterations:4480.0 loss:3.42903
iterations:4490.0 loss:3.12295
iterations:4500.0 loss:3.16644
iterations:4510.0 loss:3.79188
iterations:4520.0 loss:3.18288
iterations:4530.0 loss:3.44626
iterations:4540.0 loss:3.22316
iterations:4550.0 loss:3.1938
